BGT_ANNEE,BGT_CONTNAT,BGT_CONTNAT_LABEL,BGT_NATURE,BGT_NATURE_LABEL,BGT_FONCTION,BGT_FONCTION_LABEL,BGT_SECTION,BGT_OPBUDG,BGT_CODRD,BGT_MTREAL,BGT_MTPROPNOUV,BGT_MTPREV,BGT_CREDOUV,BGT_ARTSPE
2020,900,Services généraux,13172,FEDER,900202,Autres moyens généraux,investissement,réel,recette,228938,0.0,0,0,non spécialisé
2020,902,Enseignement,13172,FEDER,90222,Lycées publics,investissement,réel,recette,4474855,0.0,0,0,non spécialisé
2020,902,Enseignement,13172,FEDER,9023,Enseignement supérieur,investissement,réel,recette,0,0.0,0,0,non spécialisé
2020,905,Aménagement des territoires,13172,FEDER,9056,Technologies de l'information et de la communication,investissement,réel,recette,11352503,0.0,0,0,non spécialisé
2020,906,Gestion des fonds européens,13172,FEDER,9062,FEDER,investissement,réel,recette,70468538,0.0,0,0,non spécialisé
2020,908,Transports,13172,FEDER,90814,Transports interurbains,investissement,réel,recette,805542,0.0,0,0,non spécialisé
2020,909,Action économique,13172,FEDER,9092,Recherche et innovation,investissement,réel,recette,927356,0.0,0,0,non spécialisé
2020,906,Gestion des fonds européens,13173,FEADER,90630,FEADER,investissement,réel,recette,116251789,0.0,0,0,non spécialisé
2020,906,Gestion des fonds européens,13178,Autres fonds européens,90630,FEADER,investissement,réel,recette,0,0.0,0,0,non spécialisé
2020,908,Transports,13178,Autres fonds européens,90810,Services communs,investissement,réel,recette,75687,0.0,0,0,non spécialisé
2020,908,Transports,13178,Autres fonds européens,90811,Transport ferroviaire régional de voyageurs,investissement,réel,recette,29309,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,13932,Dotation régionale d'équipement scolaire,926,Transferts entre les sections,investissement,ordre,dépense,64095519,0.0,0,0,non spécialisé
2020,923,Dettes et autres opérations financières,166,Refinancement de dette,923,Dettes et autres opérations financières,investissement,réel,dépense,0,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,192,Plus ou moins-values sur cessions d'immobilisations,926,Transferts entre les sections,investissement,ordre,recette,211193,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,192,Plus ou moins-values sur cessions d'immobilisations,926,Transferts entre les sections,investissement,ordre,dépense,112904,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,198,Neutralisation des amortissements,926,Transferts entre les sections,investissement,ordre,dépense,388513115,0.0,0,0,non spécialisé
2020,900,Services généraux,21311,Bâtiments administratifs,900202,Autres moyens généraux,investissement,réel,recette,1140,0.0,0,0,non spécialisé
2020,900,Services généraux,21311,Bâtiments administratifs,900202,Autres moyens généraux,investissement,réel,dépense,106976,0.0,0,0,non spécialisé
2020,900,Services généraux,21311,Bâtiments administratifs,900202,Autres moyens généraux,investissement,réel,dépense,298445,0.0,0,0,non spécialisé
2020,903,"Culture, sports et loisirs",21311,Bâtiments administratifs,9032,Sports,investissement,réel,dépense,25804,0.0,0,0,non spécialisé
2020,925,Opérations patrimoniales,21311,Bâtiments administratifs,925,Opérations patrimoniales,investissement,ordre,dépense,22281,0.0,0,0,non spécialisé
2020,902,Enseignement,21312,Bâtiments scolaires,90222,Lycées publics,investissement,réel,recette,9497,0.0,0,0,non spécialisé
2020,902,Enseignement,21312,Bâtiments scolaires,90222,Lycées publics,investissement,réel,dépense,11905366,0.0,0,0,non spécialisé
2020,902,Enseignement,21312,Bâtiments scolaires,90222,Lycées publics,investissement,réel,dépense,55448,0.0,0,0,non spécialisé
2020,902,Enseignement,21312,Bâtiments scolaires,90224,Participations à des cités mixtes,investissement,réel,dépense,212646,0.0,0,0,non spécialisé
2020,925,Opérations patrimoniales,21312,Bâtiments scolaires,925,Opérations patrimoniales,investissement,ordre,recette,113938618,0.0,0,0,non spécialisé
2020,925,Opérations patrimoniales,21312,Bâtiments scolaires,925,Opérations patrimoniales,investissement,ordre,dépense,51082754,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,21312,Bâtiments scolaires,926,Transferts entre les sections,investissement,ordre,recette,267255,0.0,0,0,non spécialisé
2020,903,"Culture, sports et loisirs",21314,Bâtiments culturels et sportifs,9032,Sports,investissement,réel,recette,22,0.0,0,0,non spécialisé
2020,903,"Culture, sports et loisirs",21314,Bâtiments culturels et sportifs,9032,Sports,investissement,réel,dépense,84788,0.0,0,0,non spécialisé
2020,909,Action économique,21314,Bâtiments culturels et sportifs,9095,Tourisme et thermalisme,investissement,réel,dépense,244247,0.0,0,0,non spécialisé
2020,925,Opérations patrimoniales,21314,Bâtiments culturels et sportifs,925,Opérations patrimoniales,investissement,ordre,dépense,1530,0.0,0,0,non spécialisé
2020,901,Formation professionnelle et apprentissage,21318,Autres bâtiments publics,9012,Apprentissage,investissement,réel,dépense,295963,0.0,0,0,non spécialisé
2020,925,Opérations patrimoniales,21715,Terrains bâtis,925,Opérations patrimoniales,investissement,ordre,recette,46115,0.0,0,0,non spécialisé
2020,902,Enseignement,217312,Bâtiments scolaires,90222,Lycées publics,investissement,réel,recette,823,0.0,0,0,non spécialisé
2020,902,Enseignement,217312,Bâtiments scolaires,90222,Lycées publics,investissement,réel,dépense,10407334,0.0,0,0,non spécialisé
2020,902,Enseignement,217312,Bâtiments scolaires,90222,Lycées publics,investissement,réel,dépense,631,0.0,0,0,non spécialisé
2020,902,Enseignement,217312,Bâtiments scolaires,90224,Participations à des cités mixtes,investissement,réel,dépense,790136,0.0,0,0,non spécialisé
2020,902,Enseignement,217312,Bâtiments scolaires,9028,Autres services périscolaires et annexes,investissement,réel,dépense,89102,0.0,0,0,non spécialisé
2020,925,Opérations patrimoniales,217312,Bâtiments scolaires,925,Opérations patrimoniales,investissement,ordre,recette,50906557,0.0,0,0,non spécialisé
2020,925,Opérations patrimoniales,217312,Bâtiments scolaires,925,Opérations patrimoniales,investissement,ordre,dépense,113971269,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,217312,Bâtiments scolaires,926,Transferts entre les sections,investissement,ordre,dépense,0,0.0,0,0,non spécialisé
2020,903,"Culture, sports et loisirs",217314,Bâtiments culturels et sportifs,9032,Sports,investissement,réel,dépense,2030,0.0,0,0,non spécialisé
2020,925,Opérations patrimoniales,236,Avances versées aux EPLE sur immobilisations régionales,925,Opérations patrimoniales,investissement,ordre,recette,0,0.0,0,0,non spécialisé
2020,909,Action économique,2741,Prêts aux collectivités et aux groupements,9095,Tourisme et thermalisme,investissement,réel,recette,50000,0.0,0,0,non spécialisé
2020,909,Action économique,2748,Autres prêts,9094,"Industrie, artisanat, commerce et autres services",investissement,réel,recette,4500000,0.0,0,0,non spécialisé
2020,909,Action économique,2748,Autres prêts,9094,"Industrie, artisanat, commerce et autres services",investissement,réel,dépense,5000000,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,28031,Frais d'études,926,Transferts entre les sections,investissement,ordre,recette,227955,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,281311,Bâtiments administratifs,926,Transferts entre les sections,investissement,ordre,recette,2802062,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,281312,Bâtiments scolaires,926,Transferts entre les sections,investissement,ordre,recette,14883979,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,281314,Bâtiments culturels et sportifs,926,Transferts entre les sections,investissement,ordre,recette,1327967,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,281318,Autres bâtiments publics,926,Transferts entre les sections,investissement,ordre,recette,500581,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,281351,Bâtiments publics,926,Transferts entre les sections,investissement,ordre,recette,93338,0.0,0,0,non spécialisé
2020,926,Transferts entre les sections,281735,"Installations générales, agencements, aménagements des constructions",926,Transferts entre les sections,investissement,ordre,recette,899,0.0,0,0,non spécialisé
